FC1,FC2
0.1038,-9.7961
-0.5278,-10.7614
-1.2531,-11.1643
-0.2285,-8.7546
-1.3601,-7.845
-2.5855,-7.8417
-2.4046,-8.5885
-3.6301,-10.6478
-5.9179,-12.7071
-5.3308,-11.3916
-4.0562,-9.6387
-3.7817,-10.886
-6.2885,-14.0395
-9.2641,-15.6619
-9.5523,-14.4093
-7.7468,-12.188
-7.3162,-13.0607
-8.3854,-13.902
-8.392,-13.6182
-8.8985,-13.8032
-8.4363,-13.8633
-6.0991,-11.1735
-4.2931,-8.015
-4.4247,-6.9503
-3.9001,-5.917
-4.1882,-5.7276
-5.5076,-7.2259
-4.5144,-6.4429
-0.8025,-4.2848
1.0032,-3.2518
2.8088,-0.7189
3.2083,0.439
1.6079,-0.1218
-0.3987,-1.7138
-2.7801,-2.6809
-2.7866,-1.773
-2.5744,-2.6152
-0.5809,-2.7386
2.6626,-1.7683
6.2812,0.5146
6.9312,1.2038
6.7063,0.3617
4.9816,-2.5429
3.257,-4.4788
1.9387,-7.2585
0.9328,-8.5383
0.5206,-7.7869
-1.0164,-8.1605
-0.5222,-6.9403
0.2845,-6.7827
1.0913,-6.2815
-0.2894,-7.0615
-1.5765,-7.6229
-4.0198,-9.0281
-6.8068,-12.0898
-6.1874,-11.8389
-6.0055,-11.0881
-4.6987,-9.1186
-3.1417,-7.8678
-1.2098,-5.4922
-0.1217,-3.9917
0.1538,-4.3976
-0.4771,-5.7723
-0.0455,-6.7096
-0.6451,-7.8032
-1.5572,-7.5219
-4.5006,-8.1781
-5.8814,-8.5219
-7.231,-9.8344
-7.487,-11.2721
-5.0555,-10.0223
-1.9053,-7.7414
-0.1301,-5.5543
-1.2298,-6.6173
-2.5169,-7.9302
-2.054,-6.2432
-1.2785,-3.9626
-0.0343,-2.6508
0.4286,-2.6202
0.7353,-2.9022
1.1358,-3.8718
1.4423,-3.6853
0.3739,-5.1863
-0.5381,-6.4685
-0.8875,-5.1882
-2.643,-3.0328
-1.7422,-2.0338
-0.7476,-2.1284
-2.4092,-2.3168
-1.7896,-2.3802
-0.17,-2.6625
-0.6441,-4.3823
-2.6494,-6.2895
-2.4672,-5.3531
-3.0975,-3.9793
-3.915,-3.4804
-1.4825,-1.294
-1.2688,-2.2327
-2.8364,-4.8592
-4.6541,-6.2045
-6.0654,-6.8311
-5.2893,-6.8016
-6.5445,-9.1471
-6.6747,-9.2115
-5.2736,-7.401
-5.3726,-7.2781
-5.9403,-6.6866
-2.0079,-2.1887
1.5807,1.5592
2.8569,4.1507
4.7893,6.7733
6.6904,8.396
7.7165,7.8623
7.3051,6.8911
6.8624,7.6697
6.4822,8.4171
5.6646,7.2269
2.3783,4.0056
-1.3454,0.378
0.8057,2.8752
2.6753,5.9661
3.295,5.1819
2.4772,2.8351
1.9409,2.7696
