FC1,FC2
-7.166,-12.003
-9.9299,-13.4857
-10.3186,-12.7183
-7.7385,-10.5135
-5.2207,-8.996
-3.109,-6.3848
-3.8412,-7.5549
-3.0108,-7.9437
1.2884,-3.8014
3.4312,-1.6593
3.7303,-0.9235
5.0294,-0.0942
3.6097,1.8913
-0.6537,1.8143
-5.1355,-3.2313
-4.7108,-4.7454
-5.6921,-5.853
-9.1108,-11.2106
-12.8104,-16.8181
-18.1038,-19.9568
-18.397,-18.5331
-12.6276,-13.4218
-8.4518,-9.0917
-7.9322,-6.6678
-8.7251,-5.6502
-5.3305,-1.6015
-3.3419,2.3223
-2.7595,3.8398
-2.2707,3.5136
-3.2195,2.2186
-5.3245,-0.0765
-5.273,-0.684
-6.6901,-2.3227
-8.3884,-3.0866
-5.7118,0.6494
-7.1601,-0.9583
-10.6708,-5.0035
-7.1187,-3.7361
-6.8476,-5.0622
-13.2015,-11.4509
-17.4305,-15.8084
-9.7844,-9.3223
-1.6383,-2.7424
-0.4922,-2.7877
3.3415,-1.4267
6.394,2.0281
3.8841,1.2954
4.7494,-0.1247
9.9274,2.2054
11.918,4.7543
14.3773,8.4905
16.2743,12.3203
18.9529,16.6504
21.1941,20.2617
22.279,21.6543
22.8018,21.9845
20.4186,19.565
17.4419,14.3332
16.6528,11.1641
11.7701,7.7137
9.3562,5.3884
11.9426,6.3131
14.3729,8.488
15.0845,11.1629
16.5774,13.7752
17.0393,12.669
15.8763,11.1878
13.5257,9.9565
10.2378,6.1316
7.1999,0.4317
7.2869,-1.1746
7.4366,-0.0309
7.8988,1.6439
5.7049,1.5687
2.0111,-0.0692
0.7548,-1.7383
1.0299,-1.2823
3.9613,1.3613
7.4243,5.255
8.8563,7.7115
9.0699,7.9182
7.971,6.1873
7.3098,5.2065
4.7426,3.8507
-1.6371,-0.8799
-2.7355,-2.1106
5.6037,4.0651
7.3181,5.241
4.5015,2.1358
7.2789,3.0309
9.9941,5.6448
12.803,8.5087
13.2682,9.1224
9.9835,6.5174
4.8552,3.2562
5.4771,4.3389
6.3492,4.203
5.6903,4.5673
4.5316,3.1194
5.8419,2.4215
3.7148,0.3175
1.5565,-0.8492
0.6795,-0.9222
-1.4161,-1.4014
-0.9177,-1.6617
0.3934,0.0782
2.0798,3.0682
3.141,6.1521
0.9835,4.1108
-4.0491,-3.493
-9.769,-10.0654
-13.9575,-14.9815
-12.3332,-14.5537
-11.9588,-12.5633
-13.772,-11.4166
-7.9601,-7.2075
-2.0856,-3.342
1.2264,-2.1328
-0.3678,-3.9549
-3.0555,-5.058
-2.6806,-4.9735
-2.9306,-6.2016
-3.4305,-7.3046
-3.3678,-8.0014
-3.0236,-7.4793
-3.398,-7.8321
-1.897,-7.5595
-1.6771,-7.4743
-1.1757,-6.8577
0.9508,-5.4286
6.1399,-2.3743
5.7355,-2.57
5.3,-3.0468
4.5207,-5.055
2.7729,-7.0006
1.1502,-5.571
0.0589,-3.9226
0.749,-2.0552
1.408,-0.9376
0.942,-0.1013
3.7263,3.0478
6.2918,6.1343
5.7636,5.0333
8.5793,6.7135
9.8637,7.7062
14.5232,12.199
19.9329,17.4106
25.1865,21.7786
30.0027,26.9592
27.1629,23.6712
23.542,18.4458
17.6397,12.1579
15.2062,8.6826
14.2731,5.7386
12.6215,5.7012
10.3762,5.57
7.2873,3.1889
6.9174,1.9643
9.0788,4.271
10.8652,7.0777
13.683,9.291
10.6885,4.3482
4.1314,-2.1258
-2.2068,-5.9435
-1.5762,-5.9487
-0.1641,-4.4849
1.2482,-1.7396
5.5669,3.1933
7.2297,5.7203
5.3928,3.3414
2.4934,0.0563
-1.8746,-4.0099
-2.7424,-6.1385
-0.4852,-4.5795
-1.6341,-6.3331
-2.7516,-7.4928
-2.3065,-6.215
-0.0488,-3.9684
2.7091,-2.2217
2.5609,-2.5372
-0.056,-3.7901
-0.6417,-6.1055
1.6477,-3.8897
2.6247,-1.4863
3.9146,-0.9265
5.4234,0.1336
5.4634,1.5999
7.5975,2.254
6.0756,-0.3728
-1.2902,-5.7183
-6.8747,-11.72
-7.1778,-15.9403
-4.1058,-12.223
-5.0337,-12.6305
-4.0552,-12.7879
-1.1077,-10.0701
-2.4412,-8.7584
-1.8684,-7.8528
-1.3267,-7.697
-3.7534,-9.2596
-5.8676,-11.6035
-1.2941,-8.8847
0.0919,-8.5096
-3.1158,-9.6968
-0.6986,-8.0716
3.6874,-5.0714
9.6045,2.2411
17.0216,10.5849
18.72,13.8975
16.1061,12.1166
15.6175,11.2111
12.8481,7.2746
6.7975,0.6508
1.528,-3.7855
3.2274,-2.1904
5.3645,-2.5327
0.6891,-7.5312
-2.2362,-9.217
2.9325,-3.9962
8.0388,2.131
9.3016,2.3835
7.2209,-1.4574
5.2967,-2.7981
4.1851,-2.4825
4.0734,-2.4794
4.0553,-4.1015
1.3184,-4.9738
1.8002,-1.8461
8.876,3.8443
14.7021,9.535
14.591,10.6637
8.4488,4.9801
2.7443,-1.6096
0.7899,-4.5116
-1.1331,-6.9761
-2.3998,-9.5967
-3.5728,-9.2173
2.0356,-1.4941
7.5503,3.2918
6.0338,3.1404
6.4236,5.0204
7.5947,4.9943
4.1723,0.7185
2.0316,-1.0881
-1.6715,-3.2072
-1.1247,-4.0451
3.1722,0.2734
3.9065,3.1544
5.8283,5.8167
10.0313,9.0416
11.9844,10.7041
10.1875,9.6167
10.2032,10.217
11.2192,10.9738
10.2979,10.2622
5.5019,4.8633
5.3621,4.9019
5.8785,7.6905
2.9575,9.3542
5.3803,12.5807
10.0218,15.6823
7.1946,10.8153
4.0239,6.2611
5.6346,6.582
7.9953,7.5593
4.1997,6.9428
3.3417,7.6076
3.6712,7.9288
6.3757,11.375
13.5801,17.9462
16.1284,20.6427
13.7082,19.1208
13.9131,18.5054
18.087,20.9214
18.7611,20.7752
17.6228,18.4728
18.5783,18.1393
18.5966,18.7437
17.0212,18.192
13.6022,15.6091
12.3394,15.8701
11.3893,16.8813
5.3767,11.2989
1.1766,5.7792
-0.836,3.5407
0.9638,6.2709
1.9198,9.0948
5.501,14.1065
5.9888,14.3999
5.9766,15.1933
7.027,18.0493
9.3275,22.3743
8.8781,21.0434
4.0228,14.619
-3.1135,6.5388
-8.0933,2.2401
-7.073,6.254
-3.0837,11.0181
-5.0007,9.1884
3.2385,16.9214
10.103,22.3108
12.8426,23.8881
12.3323,21.8718
7.9472,16.5432
1.9059,9.871
1.8332,8.7926
7.5106,14.0893
12.0944,17.1361
10.9593,15.9642
4.8869,11.3862
-1.3728,5.2148
-0.6637,5.5123
-0.3922,6.81
-5.9643,3.0454
-9.2862,-1.4376
-7.733,-0.108
-3.5862,2.5654
-2.1894,3.2074
-4.5111,2.0372
-3.6141,2.6484
-5.2483,0.6034
-7.3512,-0.879
-7.8291,0.1701
-9.1817,-0.8428
-6.2217,1.3319
-0.7304,6.413
-0.8953,4.6503
-0.4976,3.4816
2.4626,7.1255
-0.1085,6.957
0.5704,8.0387
5.562,13.7768
8.647,15.2337
7.4196,13.2844
1.8797,10.0854
-2.6289,6.2304
-3.1062,4.3754
-0.6146,6.3643
1.4707,7.9471
6.8687,13.4364
10.892,17.7073
12.3216,19.9471
13.9073,22.5307
8.7118,16.927
2.2976,9.8548
1.4462,7.8768
1.2512,7.7115
2.2126,9.8277
5.799,13.444
7.0414,15.529
8.1272,16.9575
11.7757,20.6675
11.9868,20.6278
8.8856,18.3696
5.8159,16.0181
0.9962,11.4792
-1.0737,8.6591
-0.6125,7.7452
2.0051,10.3626
5.0603,14.324
4.1155,14.0044
3.6709,13.8102
8.1639,17.9599
12.8758,21.5162
14.0565,21.3852
11.8308,20.1918
7.4803,16.9673
4.8486,11.6805
4.6857,8.8
-1.0398,3.7008
-3.6407,1.3827
-1.4603,4.3459
3.095,8.6217
5.0251,10.3038
2.4866,8.0799
5.5423,10.0127
9.0043,11.4771
6.4975,7.5665
1.6156,2.3434
1.0151,1.6518
0.2273,1.9294
0.1271,3.1133
2.402,4.6412
4.677,5.6696
5.7958,7.0418
4.6958,6.0078
3.5644,4.1614
1.5889,2.1898
0.926,1.187
3.1381,1.7781
3.4752,3.4006
4.9686,5.4608
6.8996,6.6463
9.6746,7.9883
10.1683,7.9866
5.6307,3.9538
5.2806,3.0148
7.8366,3.9509
9.7988,4.512
8.8549,5.5732
6.3484,4.8845
4.342,3.1335
1.1797,-0.5547
-1.8265,-0.1801
-4.9891,-1.0868
-6.8393,-4.5247
-6.5333,-4.9312
-5.0398,-3.15
-2.6714,0.2874
1.7284,5.5688
2.1595,7.4443
-3.6905,2.9136
-8.9467,-3.1481
-16.5781,-10.4909
-24.1784,-18.1463
-25.4351,-20.5515
-25.7854,-21.4878
