CP1,CP2
-5.6391,-0.5183
-6.1701,-1.2077
-5.8261,-0.8657
-6.7322,-0.0548
-7.0445,2.256
-5.7943,2.9419
-3.3253,5.6589
-1.075,6.4384
-0.3872,4.1552
-0.4807,5.2781
-2.0117,6.9947
-2.6052,7.555
-3.0112,7.2404
-3.0111,6.0197
-2.6985,2.7989
-1.8233,2.1407
-1.0106,3.9199
0.0209,8.0741
0.4901,11.8847
1.2404,14.8516
2.1783,15.9749
2.3975,15.2857
2.8979,16.534
3.4921,15.5635
4.055,13.0304
3.7118,11.7162
2.4623,10.9956
3.0879,13.8376
3.776,20.242
4.4954,25.6464
5.3709,25.0506
3.8402,21.0486
2.1845,18.0154
0.5912,13.3259
0.1231,10.074
-1.4388,8.3223
-2.2506,8.2894
-0.3749,9.3189
0.4385,8.411
0.0644,7.3155
-0.2783,5.8763
-1.1524,2.6247
-2.4639,0.5605
-3.5565,2.1526
-3.0866,4.4011
-2.1791,9.2122
-2.6779,10.2109
-2.8953,8.8036
-2.4878,7.6462
-1.7991,7.8637
-1.3605,6.9877
-2.4218,1.2992
-2.6081,-4.3579
-4.3257,-6.6087
-6.6996,-5.6096
-5.6046,-1.1105
-4.6033,1.7322
-4.7895,4.6687
-4.3194,8.3864
-3.9742,10.3541
-2.8791,11.9466
-2.284,12.5078
-1.5014,11.8501
-0.9062,9.2238
0.2203,8.7224
1.1593,9.6584
2.8483,9.6256
2.7562,12.8115
3.1329,14.4036
4.7283,11.3393
5.2926,10.5248
4.9818,8.8664
4.421,9.8956
5.0164,10.2061
4.8305,8.3602
3.9258,5.5456
3.615,1.6059
3.5855,-3.4898
3.6498,-6.5855
3.4016,-8.9936
3.1221,-9.4642
1.4677,-5.4972
0.9695,-3.999
1.9088,-6.7193
2.4106,-7.8459
2.4124,-7.5039
1.5705,-4.7555
2.2599,-1.6009
2.4495,-2.4775
3.4829,-6.1667
3.7975,-9.4498
2.9559,-9.9205
2.0205,-8.61
1.1163,-7.0808
-0.2878,-6.7705
-0.6293,-9.3978
-0.1582,-12.8062
0.063,-12.7459
0.0653,-11.7794
-0.276,-12.4381
0.8515,-14.5032
2.5103,-14.1307
1.2939,-13.6958
0.6088,-12.4174
-0.4827,-13.2954
-1.9803,-12.5798
-1.5717,-9.1765
0.5869,-10.6795
1.9956,-12.5888
2.4669,-9.2793
3.1256,-7.0636
4.0657,-8.7227
4.8494,-7.4443
4.6645,-4.4473
3.5108,-2.919
3.4197,-3.2343
4.0787,-3.8309
3.8315,-0.2712
4.053,4.0697
6.3996,2.4418
9.3711,0.9701
8.4363,3.5295
6.0329,3.7764
6.567,3.9608
6.7574,2.114
6.3852,0.7047
2.9818,-1.2984
2.0784,-2.2702
3.1751,0.1015
4.303,3.0045
5.6185,2.7825
6.2779,2.1229
6.2499,2.0256
6.0345,1.1471
6.6002,1.1123
7.291,0.7023
7.888,1.6673
7.7663,3.726
8.1759,4.3784
6.2417,3.9057
5.62,3.4329
5.9358,1.8352
4.1266,1.8
2.7861,1.4835
2.5082,0.5421
3.824,-2.4305
4.3899,-4.6845
3.1122,-4.5636
2.1782,-3.099
1.9318,-0.8218
3.0292,0.2365
3.314,-1.3928
3.9094,-8.0847
3.0379,-10.464
2.0122,-8.6245
2.922,-7.1911
3.9569,-5.6328
1.773,-4.5433
0.2766,-6.0165
-1.0009,-9.896
-1.2471,-13.1504
0.6006,-13.1549
0.4483,-9.8472
-0.6103,-7.9458
0.7061,-6.9194
1.4289,-6.5806
0.6829,-8.0857
-0.3756,-9.4659
-1.1841,-12.5024
1.0699,-13.1951
1.9177,-12.8566
1.5157,-15.4245
2.3011,-17.3362
4.2116,-16.8417
4.2471,-16.8161
1.9389,-16.1967
0.6932,-15.921
-1.2086,-13.4267
-2.7666,-10.1826
-2.1997,-12.7509
-0.3827,-15.1317
1.9344,-12.4187
2.8139,-9.4558
1.7247,-7.8995
-2.4583,-2.4058
-3.0163,1.7129
-2.8244,-0.2622
-2.1325,-1.0497
-2.2531,0.5065
-1.6861,-1.9061
-1.8065,-4.0376
-1.7083,-2.4817
1.3276,0.6366
1.926,1.5987
-0.8819,-0.908
-1.2855,-4.3211
-2.1871,-4.1407
-3.3386,-1.898
-3.2714,1.4696
-0.6085,3.5248
1.4569,0.5801
2.3056,-5.3958
1.9979,-9.2781
2.0028,-12.5354
2.4763,-13.2927
2.6997,-11.8002
2.0793,-11.9329
0.8028,-11.3468
-0.3799,-10.1669
-0.1249,-9.7683
0.7863,-10.8073
0.7601,-12.5964
1.0171,-14.0419
2.0827,-15.8625
2.1815,-15.3082
0.8428,-16.6291
-0.8708,-19.2002
-1.7095,-17.2089
-2.298,-16.6865
-3.6365,-15.2266
-3.0061,-14.6108
-2.4694,-17.4012
-2.2139,-19.0043
-1.5835,-17.7637
1.8596,-16.0856
3.1463,-14.9703
1.8393,-13.1675
2.4072,-12.7397
2.9127,-11.6558
3.4494,-9.5721
3.9237,-8.5199
5.398,-8.2489
5.5598,-8.0718
4.409,-6.9571
3.852,-1.6237
3.2325,1.7407
4.488,0.6675
4.5873,1.9379
2.6554,7.5833
1.9422,13.3536
0.3228,13.6547
-2.1715,9.5183
-2.447,7.2568
-2.0955,5.5577
-1.7167,0.7962
-0.5547,-4.1841
-0.2366,-6.2269
0.4272,-5.3324
0.4015,-6.5317
-0.3117,-4.3249
-0.5248,0.8505
-0.2067,3.8694
-1.1698,4.232
-0.3204,6.3444
0.3708,6.238
-1.1236,6.6626
-2.8367,3.6182
-1.6749,1.2301
-0.7923,1.9669
-2.4429,0.6411
-2.8122,-2.1849
-1.8688,-1.6359
-1.0505,-1.0871
-0.1071,-3.0384
1.5551,-3.5524
3.2485,-4.6913
3.1607,-5.0489
3.3543,-2.8441
4.329,-1.9831
4.6163,-3.0283
4.4035,-1.1362
3.8159,1.6308
3.8534,0.4914
4.7035,0.2581
4.7098,1.4936
4.5912,1.6353
4.0038,0.1206
3.6352,0.7933
2.6104,2.3722
1.148,3.6072
0.2168,3.6855
0.6918,3.6698
2.1043,0.2165
2.0793,-3.4868
1.8669,-2.5963
3.7482,-3.2374
6.3483,-6.8475
5.7608,-11.2701
3.6421,-11.943
2.2109,-9.7098
1.0922,-8.4453
1.2841,-8.8057
2.728,-7.5413
3.6407,-4.4022
4.3659,-2.3882
5.5911,-4.9369
5.7226,-8.7045
5.6352,-9.0973
4.1728,-6.8339
2.6478,-5.4144
2.0291,-6.1513
0.8793,-4.1071
-0.8018,-2.0317
-1.0766,0.0122
0.6174,5.306
0.6552,10.381
1.2243,10.3308
1.106,8.5305
-0.606,6.4489
-2.068,4.8985
